ID,AZFW,HEQK,NIR3,YXV8,JLRK,G8I5,NEEW,OBA1,D45Q,GD2D,DECH,LUUA,ZRZX,DRF9,D34X,L7MO
1,3242,4794,6428,-4803,-3819,3168,-2300,-6188,8328,4193,6599,4820,-580,5149,-3392,-7283
2,8549,7372,-8837,4876,4740,9795,-5680,-9352,6644,6067,-5230,8521,-2776,1846,-5335,-6296
3,8457,4633,9068,1695,8405,-5199,-1844,-7339,-822,698,-5449,-5785,-1851,-542,-2621,-879
4,-528,-5868,-6284,5001,-5836,1968,-5061,-4098,7369,-4762,-3464,-3657,-7013,-507,7087,-1488
5,-1511,5637,-9383,-9993,2107,3795,-4872,-1583,3277,-1525,7859,-125,6518,-8300,-6241,-1401
6,-2304,176,-1081,8384,-2519,7416,2671,-2690,1688,4501,3409,8038,-724,355,-6335,1086
7,-1737,-3992,9611,3177,5116,3207,-8258,-1054,-811,6838,8579,-1392,9396,4658,5434,-7871
8,9825,-771,349,9290,6878,9733,-2575,7505,-3635,-8729,8364,-1057,7823,-3745,-7296,-7963
9,7452,-4030,-5626,-7654,5388,-9697,-1965,-6213,906,-7804,-8725,-129,756,9172,-3965,-8384
10,-1773,5254,7863,-16,7804,8612,9297,-2470,6166,-2747,-8765,-7107,3408,8940,-6348,5987
11,8572,9985,8722,5277,-6633,5008,-5771,1779,-5690,6598,4166,-676,-2348,-52,-5779,8101
12,8515,5591,-5659,1364,7978,-4081,5718,-7569,4695,1648,5983,2217,9455,3330,3993,-6061
13,517,-1422,1585,5673,2688,7837,8650,-6983,6510,-5457,6459,7942,-6912,-3519,2806,7079
14,-4303,-5690,-6891,187,-5579,507,8970,-8939,-4617,-6612,-9988,6104,1133,-527,7697,3110
15,-7752,552,-8292,-363,8353,2982,8688,-8006,7728,5749,9955,-1619,6514,920,9278,4521
16,-8104,-6128,-9404,1188,9693,842,-8256,3343,-6570,-4614,-2320,3821,4092,836,-7867,-5180
